County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Stanislaus,2009,-2.72,1,48550,NA,NA,0.9666666666666667
Stanislaus,2010,2.37,1,47442,476.14,658.38,1.6191666666666666
Stanislaus,2011,2.88,1,44287,NA,NA,0.9908333333333333
Stanislaus,2012,-3.24,1,46324,NA,NA,1.1833333333333333
Stanislaus,2013,-3.88,1,47808,NA,NA,0.3641666666666667
Stanislaus,2014,-5.53,1,50917,NA,NA,1.2016666666666667
Stanislaus,2015,-3.25,1,51949,175.01,391.82,0.7191666666666666
Stanislaus,2016,2.35,1,54060,NA,NA,1.5033333333333334
Sutter,2008,-3.63,1,49146,NA,NA,1.2675
Sutter,2009,-2.33,1,48073,NA,NA,1.2416666666666667
Sutter,2010,1.95,1,46188,174.48,247.81,2.035833333333333
Sutter,2011,2.78,1,48749,NA,NA,1.5141666666666667
Sutter,2012,0.07,1,46524,NA,NA,1.8983333333333332
Sutter,2013,-2.32,1,47903,NA,NA,0.5475
Sutter,2014,-4.88,1,51827,NA,NA,1.6691666666666667
Sutter,2015,-3.52,1,50810,169.02,267.1,0.7391666666666666
Sutter,2016,-0.82,1,51283,NA,NA,1.7825
Tehama,2008,-4.2,1,38160,NA,NA,2.1374999999999997
Tehama,2009,-2.32,1,38179,NA,NA,2.51
Tehama,2010,1.56,1,38188,25.14,86.45,3.875
Tehama,2011,2.37,1,37297,NA,NA,2.465
Tehama,2012,-1.18,1,38577,NA,NA,3.5908333333333333
Tehama,2013,-3.31,1,43459,NA,NA,0.9516666666666667
Tehama,2014,-2.77,1,40782,NA,NA,3.5283333333333333
Tehama,2015,-4.11,1,40292,27.18,95.58,1.6300000000000001
Tehama,2016,2.4,1,40585,NA,NA,3.9991666666666665
Trinity,2008,-3.62,1,34726,NA,NA,3.5475000000000003
Trinity,2009,-0.66,1,33546,NA,NA,3.5066666666666664
Trinity,2010,3.43,1,35207,2.23,2.39,6.243333333333333
Trinity,2011,3.32,1,33163,NA,NA,3.8975
